duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,class
9368711,16,4,1564818,1549373,190205.2857,203290.4565,389822.3919,370323.7198,10.35361215,4802.688438,4,1523088,97590.73958,267600.1984,1871488,1983656.333,2195089,183219.6979,1234883,1420565,1523088,161096.5393,Non-VPN
7340238,18,4,1567554,1527893,165686.9773,186914.8462,317267.5487,304370.6513,11.58000599,4340.186245,4,1517774,87383.78571,221462.862,1491627,3572433,5653239,2942704.066,1131498,1324636,1517774,273138.379,Non-VPN
4644225,29,15,1270547,1079974,165865.1786,195302.1304,329473.1263,300492.5882,11.41202246,4161.512416,15,1079974,89312.01923,217475.4252,1758922,1758922,1758922,0,1079974,1079974,1079974,0,Non-VPN
4978735,19,8,2492050,2457286,239543.25,276596.3889,612435.3042,628339.5735,8.034169322,3918.666087,8,2441990,127659.8718,436959.7164,1710925,2382905,3054885,950323.2296,1346073,1894031.5,2441990,774930.3423,Non-VPN
11838189,19,10,3094089,3093543,243766.5,295954.725,599721.7817,625632.704,7.602514202,2802.540152,10,3042717,133013.3596,436129.6393,1747431,2400446,3240696,623274.3905,1394455,1983227,3042717,725987.8291,Non-VPN
11771793,30,6,3149632,2964504,244008.0208,255167.3478,632857.3853,607541.3554,8.155087335,3683.296164,6,2964504,123913.6105,435676.9529,1443143,2872733,3563174,965103.5248,1065834,1933295,2964504,1008644.523,Non-VPN
13978645,17,7,2249885,2064514,215483.375,254157.1818,484527.9213,462592.987,8.656060727,3046.003386,7,2064514,116488.7083,334260.192,1363299,2254176.2,3870047,1010713.698,1147658,1533121.8,2064514,421832.9294,Non-VPN
13942087,22,6,2426308,2425956,231527.7167,248101.0357,516661.1302,507941.6885,8.463582246,3683.88176,6,2375478,119163.1368,363365.6846,2076878,2741696.8,4001564,772121.4975,1252392,1719479.4,2375478,430172.047,Non-VPN
7863522,30,8,2067690,2068091,244213.125,252051.4839,571806.1946,562812.2867,8.266016169,3567.866918,8,2017289,122867.5313,400581.1707,2092947,2535198.667,3282729,650992.7804,1707343,1897912,2017289,166786.8591,Non-VPN
8259704,18,9,2321059,2278426,269051.3,330388.16,639533.2321,637243.9888,6.900973691,2352.384541,9,2270116,147494.7143,449957.5843,2368851,2687726,3162320,419028.124,1702783,1980072,2270116,283881.4907,Non-VPN
